borough,community_school_district,children_aged_4_10_contributed_per_housing_unit,children_aged_11_13_contributed_per_housing_unit,children_aged_14_17_contributed_per_housing_unit,data_as_of
Bronx,12.0,0.27,0.12,0.13,2024-01-12
Bronx,11.0,0.24,0.11,0.13,2024-01-12
Bronx,10.0,0.21,0.08,0.13,2024-01-12
Bronx,9.0,0.22,0.09,0.13,2024-01-12
Bronx,8.0,0.2,0.09,0.13,2024-01-12
Bronx,7.0,0.23,0.08,0.13,2024-01-12
Manhattan,6.0,0.07,0.02,0.02,2024-01-12
Manhattan,5.0,0.09,0.03,0.02,2024-01-12
Manhattan,4.0,0.07,0.03,0.02,2024-01-12
Manhattan,3.0,0.04,0.01,0.02,2024-01-12
Manhattan,2.0,0.04,0.01,0.02,2024-01-12
Manhattan,1.0,0.04,0.01,0.02,2024-01-12
Staten Island,31.0,0.25,0.08,0.09,2024-01-12
Queens,30.0,0.11,0.04,0.1,2024-01-12
Queens,29.0,0.33,0.14,0.1,2024-01-12
Queens,28.0,0.22,0.08,0.1,2024-01-12
Queens,27.0,0.17,0.07,0.1,2024-01-12
Queens,26.0,0.29,0.13,0.1,2024-01-12
Queens,25.0,0.22,0.07,0.1,2024-01-12
Queens,24.0,0.38,0.13,0.1,2024-01-12
Brooklyn,32.0,0.09,0.04,0.05,2024-01-12
Brooklyn,23.0,0.14,0.06,0.05,2024-01-12
Brooklyn,22.0,0.15,0.05,0.05,2024-01-12
Brooklyn,21.0,0.14,0.05,0.05,2024-01-12
Brooklyn,20.0,0.19,0.07,0.05,2024-01-12
Brooklyn,19.0,0.18,0.08,0.05,2024-01-12
Brooklyn,18.0,0.13,0.08,0.05,2024-01-12
Brooklyn,17.0,0.08,0.02,0.05,2024-01-12
Brooklyn,16.0,0.09,0.04,0.05,2024-01-12
Brooklyn,15.0,0.17,0.04,0.05,2024-01-12
Brooklyn,14.0,0.04,0.01,0.05,2024-01-12
Brooklyn,13.0,0.05,0.01,0.05,2024-01-12
Brooklyn,22.0,0.15,0.05,0.05,2023-01-05
Staten Island,31.0,0.25,0.08,0.09,2023-01-05
Queens,30.0,0.11,0.04,0.1,2023-01-05
Queens,29.0,0.33,0.14,0.1,2023-01-05
Queens,28.0,0.22,0.08,0.1,2023-01-05
Queens,27.0,0.17,0.07,0.1,2023-01-05
Brooklyn,21.0,0.14,0.05,0.05,2023-01-05
Queens,26.0,0.29,0.13,0.1,2023-01-05
Queens,25.0,0.22,0.07,0.1,2023-01-05
Queens,24.0,0.38,0.13,0.1,2023-01-05
Brooklyn,32.0,0.09,0.04,0.05,2023-01-05
Brooklyn,23.0,0.14,0.06,0.05,2023-01-05
Manhattan,1.0,0.04,0.01,0.02,2023-01-05
Manhattan,2.0,0.04,0.01,0.02,2023-01-05
Manhattan,3.0,0.04,0.01,0.02,2023-01-05
Manhattan,4.0,0.07,0.03,0.02,2023-01-05
Manhattan,5.0,0.09,0.03,0.02,2023-01-05
Manhattan,6.0,0.07,0.02,0.02,2023-01-05
Bronx,7.0,0.23,0.08,0.13,2023-01-05
Bronx,8.0,0.2,0.09,0.13,2023-01-05
Bronx,9.0,0.22,0.09,0.13,2023-01-05
Bronx,10.0,0.21,0.08,0.13,2023-01-05
Bronx,11.0,0.24,0.11,0.13,2023-01-05
Bronx,12.0,0.27,0.12,0.13,2023-01-05
Brooklyn,13.0,0.05,0.01,0.05,2023-01-05
Brooklyn,14.0,0.04,0.01,0.05,2023-01-05
Brooklyn,15.0,0.17,0.04,0.05,2023-01-05
Brooklyn,16.0,0.09,0.04,0.05,2023-01-05
Brooklyn,17.0,0.08,0.02,0.05,2023-01-05
Brooklyn,18.0,0.13,0.08,0.05,2023-01-05
Brooklyn,19.0,0.18,0.08,0.05,2023-01-05
Brooklyn,20.0,0.19,0.07,0.05,2023-01-05
Queens,26.0,0.29,0.13,0.1,2019-12-18
Manhattan,1.0,0.04,0.01,0.02,2019-12-18
Manhattan,2.0,0.04,0.01,0.02,2019-12-18
Manhattan,3.0,0.04,0.01,0.02,2019-12-18
Manhattan,4.0,0.07,0.03,0.02,2019-12-18
Manhattan,5.0,0.09,0.03,0.02,2019-12-18
Manhattan,6.0,0.07,0.02,0.02,2019-12-18
Bronx,7.0,0.23,0.08,0.13,2019-12-18
Bronx,8.0,0.2,0.09,0.13,2019-12-18
Bronx,9.0,0.22,0.09,0.13,2019-12-18
Bronx,10.0,0.21,0.08,0.13,2019-12-18
Bronx,11.0,0.24,0.11,0.13,2019-12-18
Bronx,12.0,0.27,0.12,0.13,2019-12-18
Brooklyn,13.0,0.05,0.01,0.05,2019-12-18
Brooklyn,14.0,0.04,0.01,0.05,2019-12-18
Brooklyn,15.0,0.17,0.04,0.05,2019-12-18
Brooklyn,16.0,0.09,0.04,0.05,2019-12-18
Brooklyn,17.0,0.08,0.02,0.05,2019-12-18
Brooklyn,18.0,0.13,0.08,0.05,2019-12-18
Brooklyn,19.0,0.18,0.08,0.05,2019-12-18
Brooklyn,20.0,0.19,0.07,0.05,2019-12-18
Brooklyn,21.0,0.14,0.05,0.05,2019-12-18
Brooklyn,22.0,0.15,0.05,0.05,2019-12-18
Brooklyn,23.0,0.14,0.06,0.05,2019-12-18
Brooklyn,32.0,0.09,0.04,0.05,2019-12-18
Queens,24.0,0.38,0.13,0.1,2019-12-18
Queens,25.0,0.22,0.07,0.1,2019-12-18
Queens,27.0,0.17,0.07,0.1,2019-12-18
Queens,28.0,0.22,0.08,0.1,2019-12-18
Queens,29.0,0.33,0.14,0.1,2019-12-18
Queens,30.0,0.11,0.04,0.1,2019-12-18
Staten Island,31.0,0.25,0.08,0.09,2019-12-18
Brooklyn,23.0,0.27,0.16,0.08,2019-03-13
Staten Island,31.0,0.28,0.11,0.12,2019-03-13
Queens,30.0,0.16,0.04,0.13,2019-03-13
Queens,29.0,0.36,0.16,0.13,2019-03-13
Queens,28.0,0.31,0.15,0.13,2019-03-13
Queens,27.0,0.31,0.14,0.13,2019-03-13
Queens,26.0,0.31,0.14,0.13,2019-03-13
Queens,25.0,0.23,0.08,0.13,2019-03-13
Queens,24.0,0.23,0.1,0.13,2019-03-13
Brooklyn,32.0,0.18,0.04,0.08,2019-03-13
Bronx,12.0,0.33,0.13,0.15,2019-03-13
Bronx,11.0,0.26,0.11,0.15,2019-03-13
Bronx,10.0,0.33,0.12,0.15,2019-03-13
Bronx,9.0,0.34,0.11,0.15,2019-03-13
Bronx,8.0,0.31,0.15,0.15,2019-03-13
Bronx,7.0,0.37,0.19,0.15,2019-03-13
Manhattan,6.0,0.15,0.06,0.02,2019-03-13
Manhattan,5.0,0.16,0.06,0.02,2019-03-13
Manhattan,4.0,0.13,0.05,0.02,2019-03-13
Manhattan,3.0,0.06,0.03,0.02,2019-03-13
Manhattan,2.0,0.05,0.02,0.02,2019-03-13
Manhattan,1.0,0.05,0.03,0.02,2019-03-13
Brooklyn,22.0,0.27,0.11,0.08,2019-03-13
Brooklyn,21.0,0.24,0.07,0.08,2019-03-13
Brooklyn,20.0,0.31,0.07,0.08,2019-03-13
Brooklyn,19.0,0.38,0.15,0.08,2019-03-13
Brooklyn,18.0,0.27,0.16,0.08,2019-03-13
Brooklyn,17.0,0.24,0.09,0.08,2019-03-13
Brooklyn,16.0,0.12,0.08,0.08,2019-03-13
Brooklyn,15.0,0.18,0.04,0.08,2019-03-13
Brooklyn,14.0,0.07,0.02,0.08,2019-03-13
Brooklyn,13.0,0.07,0.03,0.08,2019-03-13
MANHATTAN,,0.12,0.04,0.06,2017-09-12
NEW YORK CITY,,1.29,0.53,0.67,2017-09-12
RICHMOND,,0.21,0.09,0.14,2017-09-12
QUEENS,,0.28,0.12,0.14,2017-09-12
BROOKLYN,,0.29,0.12,0.14,2017-09-12
BRONX,,0.39,0.16,0.19,2017-09-12
MANHATTAN,,0.12,0.04,0.06,2015-06-04
NEW YORK CITY,,1.29,0.53,0.67,2015-06-04
RICHMOND,,0.21,0.09,0.14,2015-06-04
QUEENS,,0.28,0.12,0.14,2015-06-04
BROOKLYN,,0.29,0.12,0.14,2015-06-04
BRONX,,0.39,0.16,0.19,2015-06-04
